id,order,start_at,script_jp,script_en
playerenglishnews_10_100521_1,1,0,"[名] 目的","purpose"
playerenglishnews_10_100521_2,2,2070,"[例文] この活動の主な目的は何ですか？","What is the main purpose of this action?"
playerenglishnews_10_100521_3,3,5360,"[他] ～を攻撃する","attack"
playerenglishnews_10_100521_4,4,7470,"[例文] 敵を攻撃しはじめた。","We started to attack the enemy."
playerenglishnews_10_100521_5,5,10610,"[他] ～を提供する","provide"
playerenglishnews_10_100521_6,6,12630,"[例文] 朝ご飯を提供します。","We provide breakfast for you."
playerenglishnews_10_100521_7,7,15630,"[他] ～を襲撃する","storm"
playerenglishnews_10_100521_8,8,17690,"[例文] レジスタンスは夜明けとともに敵の要塞を襲撃した。","The resistance stormed into the enemy's fort at dawn."
playerenglishnews_10_100521_9,9,21950,"[名] 聴衆","audience"
playerenglishnews_10_100521_10,10,24140,"[例文] たくさんの聴衆がいた。","There was a large audience."
playerenglishnews_10_100521_11,11,27040,"[形] 古代の","ancient"
playerenglishnews_10_100521_12,12,29150,"[例文] 古代ローマ人はたくさんの建物を建てた。","Ancient Roman built many buildings."
playerenglishnews_10_100521_13,13,32620,"[名] 時代","era"
playerenglishnews_10_100521_14,14,34480,"[例文] 私たちはまさにデジタル時代を生きている。","We are pretty much living in the digital era."
playerenglishnews_10_100521_15,15,38240,"[名] 発見","discovery"
playerenglishnews_10_100521_16,16,40520,"[例文] 彼は新大陸の発見をした。","He made a discovery of the new continent."
playerenglishnews_10_100521_17,17,44140,"[形] 主要な","major"
playerenglishnews_10_100521_18,18,46180,"[例文] 車を製造するのは日本で主要な産業である。","Producing cars is a major industry in Japan."
playerenglishnews_10_100521_19,19,50470,"[名] 周囲の事情","circumstance"
playerenglishnews_10_100521_20,20,52960,"[例文] それは周囲の事情による。","It depends on the circumstances."
