id,order,start_at,script_jp,script_en
playerenglishnews_6_6032_1,1,0,"フレンズは1994年から2004年まで続いたアメリカのテレビシリーズです。","”Friends” is an American TV series run from 1994 to 2004."
playerenglishnews_6_6032_2,2,6758,"これはマンハッタンで一緒に暮らす20代~30代の6人の登場人物によって<b>繰り広げられる*</b>シットコムです。","It is a sitcom that <b>revolves around *</b>6 characters in their 20's and 30's living together in Manhattan."
playerenglishnews_6_6032_3,3,15092,"フレンズは世界最高のテレビショーの一つだとよく言われますが、何故でしょう？","It is often said that Friends is one of the best TV shows in the world, but why?"
playerenglishnews_6_6032_4,4,21316,"それは、コメディーでありながらも、登場人物に<b>自分を重ね合わせる*</b>ことができるからです。","That's because we can <b>identify ourselves with*</b> all the characters in the story even though it's a comedy."
playerenglishnews_6_6032_5,5,28417,"シリーズを通じて、彼らは恋愛、キャリア、友情といった同世代の大半の人が実際に経験するような人生の悩みを抱えます。","Throughout its series, they go through struggles in their life such as relationships, careers, and friendships, which most people around their age could probably experience in reality."
playerenglishnews_6_6032_6,6,40853,"こうしたリアルなストーリの中で、登場人物がそれらの問題をユニークかつ面白く解決していきます。","In these realistic stories, all the characters overcome those problems uniquely and humorously. "
playerenglishnews_6_6032_7,7,47942,"これがフレンズの一番面白い部分です。","This is the best part of ""Friends"". "
