id,order,start_at,script_jp,script_en
playerenglishnews_3_30032_1,1,0,"英単語を覚えるのに必要なものは三つある。","There are three things you need to learn English vocabulary."
playerenglishnews_3_30032_2,2,4785,"一つ目は、辞書だ。","First, you need dictionary."
playerenglishnews_3_30032_3,3,7236,"<b>単語帳*</b>ではなく辞書を使うことで、その単語が実際にどのように使われているのかを学ぶことができる。","Using dictionary and not <b>flashcards*</b> would make you learn how the words are actually used."
playerenglishnews_3_30032_4,4,14241,"二つ目は、スピーカーだ。","Second, you need a speaker."
playerenglishnews_3_30032_5,5,17040,"単語がどのように発音されているかを知らなければ、コミュニケーションで使えない。","Unless you know how the words are pronounced, you can’t use them in communications."
playerenglishnews_3_30032_6,6,22922,"3つ目に重要なのは、興味を持つことだ。","Third and most important, you need interest."
playerenglishnews_3_30032_7,7,26198,"英語への興味がある限り、どんなことでも学ぶことができるだろう。","As long as you are interested in English, you can learn whatever you want. "
