id,order,start_at,script_jp,script_en
playerenglishnews_10_100567_1,1,0,"[名] 統計","statistics"
playerenglishnews_10_100567_2,2,2450,"[例文] 統計は我々の生活水準が向上したことを示している。","Statistics indicate that our living standards have risen."
playerenglishnews_10_100567_3,3,6770,"[名] 参加","participation"
playerenglishnews_10_100567_4,4,9350,"[例文] あなたの参加をお待ちしています。","We encourage your participation."
playerenglishnews_10_100567_5,5,12510,"[名] 疲労","fatigue"
playerenglishnews_10_100567_6,6,14570,"[例文] 疲労が彼の健康をむしばんでいる。","Fatigue is undermining his health."
playerenglishnews_10_100567_7,7,17750,"[他] ～を達成する","accomplish"
playerenglishnews_10_100567_8,8,20020,"[例文] 自分の目標を達成するために全力を尽くす。","I will try my best to accomplish my goals."
playerenglishnews_10_100567_9,9,23810,"[名] 文書","document"
playerenglishnews_10_100567_10,10,26090,"[例文] これは秘密の文書です。","This is a secret document."
playerenglishnews_10_100567_11,11,29090,"[名] 支払い","payment"
playerenglishnews_10_100567_12,12,31090,"[例文] 支払いを後回しにしていいことはない。","It's never a good idea to postpone payment."
playerenglishnews_10_100567_13,13,34800,"[名] 料理","cuisine"
playerenglishnews_10_100567_14,14,36870,"[例文] インドは地域色豊かな食文化があります。","India has a cuisine rich in regional flavour."
playerenglishnews_10_100567_15,15,40900,"[形] 注目に値する","notable"
playerenglishnews_10_100567_16,16,43010,"[例文] その地域は風景と野生動物で注目に値する。","The area is notable for its scenery and wildlife."
playerenglishnews_10_100567_17,17,47450,"[名] 会社","firm"
playerenglishnews_10_100567_18,18,49360,"[例文] 私の父が働く商社は食品を扱っている。","The trade firm my father's working at handles food."
playerenglishnews_10_100567_19,19,53390,"[他] ～を再開する","resume"
playerenglishnews_10_100567_20,20,55550,"[例文] 産休のあと彼女はまたもとの仕事に戻った。","After her maternity leave, she resumed her old job."
