id,order,start_at,script_jp,script_en
playerenglishnews_6_6160_1,1,0,"初めての近代オリンピックが1896年に開催された時、夏のオリンピックのプログラムには9競技しかなかった。","When the first modern Olympics was held in 1896, the Summer Olympics program only featured 9 sports."
playerenglishnews_6_6160_2,2,8467,"2020年東京オリンピックでは、50種目を<b>包摂する*</b>33競技が開催され、そのうち5競技は新しく導入されるものである。","In the 2020 Tokyo Olympic, the Games will feature 33 different sports, with 5 of them being newly introduced, <b>encompassing*</b> 50 disciplines."
playerenglishnews_6_6160_3,3,19446,"100年以上の歴史を通じてオリンピックに追加された競技もあれば、消えた競技もある。","Through more than 100 years of history, some sports have been added to the games, and some sports have disappeared."
playerenglishnews_6_6160_4,4,27760,"綱引きは消えたうちの一つである。","The tug of war is one of those which have disappeared."
playerenglishnews_6_6160_5,5,31391,"この競技は1900年から1920年まではオリンピックの一部分であったが、それ以来含まれていない。","The sport was part of the Olympic Games from 1900 until 1920, but has not been included since."
playerenglishnews_6_6160_6,6,39576,"芸術はオリンピックと関連されないかもしれないが、芸術の大会は近代オリンピックの初期の間、1912年から1948年までは一部分を成していた。","Though art might not be associated with the Olympics, art competitions formed part of the modern Olympic Games during its early years, from 1912 to 1948."
playerenglishnews_6_6160_7,7,52231,"国際オリンピック委員会の創設者であるフランスのピエール・ド・クーベルタンは、男性が心身ともに教育されるという彼の理想の実現のために芸術的な競争をオリンピックに含むことを検討した。","French Pierre de Coubertin, the founder of the International Olympic Committee, considered including artistic competition in the Olympic Games for the fulfillment of his ideals of men being educated in both mind and body."
