id,order,start_at,script_jp,script_en
playerenglishnews_5_50001_1,1,0,"毎晩窓から外を見ると、月が特定の周期でその形を変えていることがわかるだろう。","Every night when you look out from the window, you see the moon changing its shape in a certain pattern."
playerenglishnews_5_50001_2,2,6913,"だが、特定のタイミングでしか見られない特別な月があることをご存知だっただろうか。","But did you know that there is a special moon that you could only see in a certain moment?"
playerenglishnews_5_50001_3,3,12551,"スーパームーンとは、満月か新月が軌道極点と<b>合致し*</b>地球に最も近づいたときの月をいう。","A supermoon is a moon being a full moon or a new moon that <b>coincides *</b>with perigee and comes closest to the earth."
playerenglishnews_5_50001_4,4,21567,"スーパームーンと呼ばれているのは、地球から月が最も大きく見えるからである。","It is called a supermoon because it is the largest size of the moon you could see from the earth."
playerenglishnews_5_50001_5,5,28560,"年に1〜2回程度の頻度で起こる。","It happens about once or twice every year."
playerenglishnews_5_50001_6,6,32294,"2020年には、4月にスーパームーンが起こりスーパーピンクムーンと呼ばれていた。","In 2020, the supermoon happened in April and was called a Super Pink Moon."
playerenglishnews_5_50001_7,7,38693,"次にスーパームーンが来る時はぜひ外に出て見てみてほしい。","You should try going out and look at the supermoon next time it happens."
