id,order,start_at,script_jp,script_en
playerenglishnews_7_70034_1,1,0,"日本では、年末から正月にかけて人々は約一週間、学校や仕事を休む。","In Japan, people have about a week off from school and work through the end of the year to the New Year."
playerenglishnews_7_70034_2,2,7101,"しかしこれは、世界ではあなたが思うかもしれないほど一般的ではない。","However, in the world this is not as normal as you may think."
playerenglishnews_7_70034_3,3,11783,"アメリカを<b>例に取りましょう*</b>。","<b>Take for example*</b> the United States."
playerenglishnews_7_70034_4,4,14834,"多くの人は、早く帰れるかもしれないとはいえ元日にも仕事がある。","Many people have work even on New Year's Eve, although they may be able to leave early."
playerenglishnews_7_70034_5,5,21374,"彼らは元日には働かないが、早ければ1月2日には職場に戻っている。","They don't work on New Year's Day, but be back to their offices as early as January 2."
playerenglishnews_7_70034_6,6,28146,"この理由は、日本と違い、11月の感謝祭と、クリスマスのあたりで休んでいるからだ。","The reason for this is because unlike in Japan, they have time off around Thanksgiving in November and Christmas."
