id,order,start_at,script_jp,script_en
playerenglishnews_9_96625_1,1,0,"<small>里紗: </small>嬉しい報告があるの！","<small>Lisa: </small>I have some good news!"
playerenglishnews_9_96625_2,2,3280,"<small>マイク: </small>なんだい？","<small>Mike: </small>What is it?"
playerenglishnews_9_96625_3,3,4920,"<small>里紗: </small><b>ジョセフと婚約したの！*</b>","<small>Lisa: </small><b>I got engaged to Joseph!*</b>"
playerenglishnews_9_96625_4,4,8590,"<small>マイク: </small>信じられない！","<small>Mike: </small>I can't believe it!"
playerenglishnews_9_96625_5,5,10630,"<small>マイク: </small>おめでとう！","<small>Mike: </small>Congratulations!"
playerenglishnews_9_96625_6,6,13010,"<small>里紗: </small>昨日、ドライブに行ったときにプロポーズされたの！","<small>Lisa: </small>Yesterday, when we went for a drive, he proposed!"
playerenglishnews_9_96625_7,7,18550,"<small>マイク: </small>彼、どうやって？","<small>Mike: </small>How did he do it?"
playerenglishnews_9_96625_8,8,20590,"<small>里紗: </small>彼と結婚してってビーチで言われたの。","<small>Lisa: </small>He asked me to marry him on the beach."
playerenglishnews_9_96625_9,9,24750,"<small>マイク: </small>なんてロマンチックなんだろ！","<small>Mike: </small>That's so romantic."
playerenglishnews_9_96625_10,10,27670,"<small>マイク: </small>指輪を見てもいい？","<small>Mike: </small>Can I see the ring?"
playerenglishnews_9_96625_11,11,29790,"<small>里紗: </small>もちろん。","<small>Lisa: </small>Sure."
playerenglishnews_9_96625_12,12,31750,"<small>マイク: </small>わあ、すごく大きなダイヤモンド！","<small>Mike: </small>Wow, the diamond is so big!"
