id,order,start_at,script_jp,script_en
playerenglishnews_3_30051_1,1,0,"おそらくすべての人がサンドイッチを人生で一度は食べた事があるでしょう。","Probably everyone has eaten a sandwich at least once in their lifetime."
playerenglishnews_3_30051_2,2,5514,"その名が「サンドイッチ伯爵」からきているというのも有名な話かもしれません。","It might also be famous that the name comes from “the Earl of Sandwich”."
playerenglishnews_3_30051_3,3,10681,"ギャンブルに<b>のめりこんでい*</b>たサンドイッチ伯爵が、遊びながら食べられるものを考案したと言われています。","It is said that the Earl of Sandwich, who was <b>absorbed*</b> in gambling, came up with the idea of something to eat while playing."
playerenglishnews_3_30051_4,4,19323,"では、その時彼がハマっていたと言われるゲームが何だったか、知っていますか？","Then, do you know what game he was said to be absorbed in?"
playerenglishnews_3_30051_5,5,23348,"それはコントラクトブリッジというトランプゲームでした。","It was a card game called “contract bridge.”"
playerenglishnews_3_30051_6,6,26883,"日本ではあまり知られていませんが、世界では１億人のプレイヤーがいたり、世界選手権があるなど人気のゲームです。","It is not famous in Japan, but there are 100 million players worldwide and even world championships are held."
